STATE,YEAR,GRAIN,TEMP_MEAN,TEMP_MIN,TEMP_MAX,PCP_SUM,PDSI_MEAN
MISSOURI,1935,19.0,54.208333333333336,20.7,91.6,47.83,0.7366666666666667
NEBRASKA,1935,13.5,48.725,12.6,94.3,22.46,-3.59
ILLINOIS,1936,24.0,51.85833333333333,7.3,97.3,30.0,-1.2716666666666667
INDIANA,1936,25.6,51.48333333333333,10.1,94.9,33.44,-1.85
IOWA,1936,20.0,47.26666666666667,-5.7,98.4,25.54,-2.2041666666666666
MINNESOTA,1936,22.0,37.858333333333334,-18.4,90.6,18.630000000000003,-2.2408333333333332
MISSOURI,1936,10.5,55.35833333333333,10.7,99.2,28.99,-1.5083333333333335
NEBRASKA,1936,5.5,48.40833333333333,-5.0,99.3,14.3,-4.100833333333333
ILLINOIS,1937,48.0,50.55,17.3,89.0,36.59,0.3566666666666666
INDIANA,1937,45.0,50.416666666666664,20.6,87.2,45.18,1.895
IOWA,1937,45.0,46.291666666666664,0.2,89.1,27.49,-2.3233333333333333
MINNESOTA,1937,37.5,38.358333333333334,-15.2,84.0,26.12,-3.481666666666667
MISSOURI,1937,27.5,53.40833333333333,17.7,91.8,36.2,-0.6924999999999999
NEBRASKA,1937,12.0,47.64166666666667,-3.8,93.5,17.87,-5.493333333333333
ILLINOIS,1938,44.0,54.075,18.5,87.8,40.57,0.3958333333333333
INDIANA,1938,41.0,53.458333333333336,19.1,86.8,40.7,0.8166666666666668
IOWA,1938,46.0,50.01666666666667,9.8,88.3,36.32,-0.075
MINNESOTA,1938,36.5,41.55833333333333,-3.4,82.8,27.27,-1.3183333333333334
MISSOURI,1938,26.0,57.26666666666667,21.4,92.8,41.04,-0.1308333333333333
NEBRASKA,1938,15.5,50.775000000000006,14.2,91.4,22.3,-4.150833333333334
ILLINOIS,1939,51.0,53.25,18.5,87.3,35.78,-0.25
INDIANA,1939,50.0,52.74166666666667,20.3,86.0,38.23,-0.535
IOWA,1939,52.2,49.875,6.8,88.1,24.5,-1.3108333333333333
MINNESOTA,1939,47.0,41.4,-9.9,83.2,21.75,-2.22
MISSOURI,1939,30.3,56.35,20.0,91.5,37.83,-0.1541666666666666
NEBRASKA,1939,14.2,50.90833333333333,6.3,94.5,16.490000000000002,-4.553333333333334
ILLINOIS,1940,43.0,50.50833333333333,4.8,89.1,28.85,-3.595833333333333
INDIANA,1940,37.0,50.00833333333333,5.5,88.0,32.35,-3.443333333333334
IOWA,1940,52.5,46.61666666666667,-2.3,89.2,30.5,-3.3608333333333333
MINNESOTA,1940,41.0,39.725,-7.1,83.1,25.1,-2.8708333333333336
MISSOURI,1940,31.0,52.90833333333333,4.2,89.7,32.6,-2.635
NEBRASKA,1940,20.5,48.56666666666666,-0.4,93.5,17.37,-5.53
ILLINOIS,1941,53.0,53.43333333333334,17.9,88.3,39.79,-1.8433333333333335
INDIANA,1941,45.0,52.85833333333334,17.6,88.0,31.99,-3.4133333333333336
IOWA,1941,51.0,49.78333333333333,11.4,87.0,36.15,-0.2108333333333333
MINNESOTA,1941,45.0,42.333333333333336,-0.1,82.6,29.17,1.0141666666666669
MISSOURI,1941,29.5,56.15833333333333,22.0,91.3,43.17,-1.163333333333333
NEBRASKA,1941,24.0,49.65833333333333,15.2,88.7,24.67,-1.8158333333333332
ILLINOIS,1942,54.0,51.71666666666667,17.1,86.7,41.01,2.065
INDIANA,1942,54.0,51.475,17.4,86.7,41.1,0.705
